"Title","Phone Number","Treatment","Destination","Status","Domain"
"sip:16023535435@*","16023535435","User","100@BrighterWayDental.sol","yes","BrighterWayDental.sol"
"sip:16023620712@*","16023620712","User","301@BrighterWayDental.sol","yes","BrighterWayDental.sol"
"sip:16024179809@*","16024179809","User","101@BrighterWayDental.sol","yes","BrighterWayDental.sol"
"sip:16028610100@*","16028610100","User","102@BrighterWayDental.sol","yes","BrighterWayDental.sol"
"sip:16028701705@*","16028701705","User","103@BrighterWayDental.sol","yes","BrighterWayDental.sol"
"sip:16028709885@*","16028709885","User","104@BrighterWayDental.sol","yes","BrighterWayDental.sol"
"sip:15023991532@*","15023991532","User","299@CASS.sol","yes","CASS.sol"
"sip:16022566945@*","16022566945","User","100@CASS.sol","yes","CASS.sol"
"sip:16022566963@*","16022566963","User","6963@CASS.sol","yes","CASS.sol"
"sip:16023620660@*","16023620660","User","1012@CASS.sol","yes","CASS.sol"
"sip:16023620661@*","16023620661","User","1003@CASS.sol","yes","CASS.sol"
"sip:16023620662@*","16023620662","User","1004@CASS.sol","yes","CASS.sol"
"sip:16023620663@*","16023620663","User","1007@CASS.sol","yes","CASS.sol"
"sip:16023620664@*","16023620664","User","1402@CASS.sol","yes","CASS.sol"
"sip:16023620665@*","16023620665","User","1010@CASS.sol","yes","CASS.sol"
"sip:16023620666@*","16023620666","User","1011@CASS.sol","yes","CASS.sol"
"sip:16023620667@*","16023620667","User","1013@CASS.sol","yes","CASS.sol"
"sip:16023620668@*","16023620668","User","1014@CASS.sol","yes","CASS.sol"
"sip:16023620669@*","16023620669","User","1017@CASS.sol","yes","CASS.sol"
"sip:16023620670@*","16023620670","User","1018@CASS.sol","yes","CASS.sol"
"sip:16023620671@*","16023620671","User","1019@CASS.sol","yes","CASS.sol"
"sip:16023620672@*","16023620672","User","1020@CASS.sol","yes","CASS.sol"
"sip:16023620673@*","16023620673","User","1027@CASS.sol","yes","CASS.sol"
